shop_url,info_url,company_name,telephone
https://www.rakuten.co.jp/kohnan-eshop/,https://www.rakuten.co.jp/kohnan-eshop/info.html,Not Found,Not Found
https://www.rakuten.co.jp/tenmafitsworld/,https://www.rakuten.co.jp/tenmafitsworld/info.html,Not Found,Not Found
https://www.rakuten.co.jp/green-pal/,https://www.rakuten.co.jp/green-pal/info.html,Not Found,Not Found
https://www.rakuten.co.jp/skhouse/,https://www.rakuten.co.jp/skhouse/info.html,Not Found,Not Found
https://www.rakuten.co.jp/dog-kan/,https://www.rakuten.co.jp/dog-kan/info.html,Not Found,Not Found
https://www.rakuten.co.jp/petworldone/,https://www.rakuten.co.jp/petworldone/info.html,Not Found,Not Found
https://www.rakuten.co.jp/life-inc/,https://www.rakuten.co.jp/life-inc/info.html,Not Found,Not Found
https://www.rakuten.co.jp/totalenergy/,https://www.rakuten.co.jp/totalenergy/info.html,Not Found,Not Found
https://www.rakuten.co.jp/dogland/,https://www.rakuten.co.jp/dogland/info.html,Not Found,Not Found
https://www.rakuten.co.jp/alice-zakkaya/,https://www.rakuten.co.jp/alice-zakkaya/info.html,Not Found,Not Found
https://www.rakuten.co.jp/underthemoonlight/,https://www.rakuten.co.jp/underthemoonlight/info.html,Not Found,Not Found
https://www.rakuten.co.jp/suisenkaku/,https://www.rakuten.co.jp/suisenkaku/info.html,Not Found,Not Found
https://www.rakuten.co.jp/dubai-cc/,https://www.rakuten.co.jp/dubai-cc/info.html,Not Found,Not Found
https://www.rakuten.co.jp/key-production/,https://www.rakuten.co.jp/key-production/info.html,Not Found,Not Found
https://www.rakuten.co.jp/vermilionshop/,https://www.rakuten.co.jp/vermilionshop/info.html,Not Found,Not Found
https://www.rakuten.co.jp/kantoh/,https://www.rakuten.co.jp/kantoh/info.html,Not Found,Not Found
https://www.rakuten.co.jp/auc-powerseller/,https://www.rakuten.co.jp/auc-powerseller/info.html,Not Found,Not Found
https://www.rakuten.co.jp/cat-land/,https://www.rakuten.co.jp/cat-land/info.html,Not Found,Not Found
https://www.rakuten.co.jp/myabidou614/,https://www.rakuten.co.jp/myabidou614/info.html,Not Found,Not Found
https://www.rakuten.co.jp/mediacover/,https://www.rakuten.co.jp/mediacover/info.html,Not Found,Not Found
https://www.rakuten.co.jp/sunflowerjapan/,https://www.rakuten.co.jp/sunflowerjapan/info.html,Not Found,Not Found
https://www.rakuten.co.jp/shopwny/,https://www.rakuten.co.jp/shopwny/info.html,Not Found,Not Found
https://www.rakuten.co.jp/kirara-pla/,https://www.rakuten.co.jp/kirara-pla/info.html,Not Found,Not Found
https://www.rakuten.co.jp/stel-lar/,https://www.rakuten.co.jp/stel-lar/info.html,Not Found,Not Found
https://www.rakuten.co.jp/e-kit/,https://www.rakuten.co.jp/e-kit/info.html,Not Found,Not Found
https://www.rakuten.co.jp/takearest-thenorthland/,https://www.rakuten.co.jp/takearest-thenorthland/info.html,Not Found,Not Found
https://www.rakuten.co.jp/aoakua/,https://www.rakuten.co.jp/aoakua/info.html,Not Found,Not Found
https://www.rakuten.co.jp/king-bear777/,https://www.rakuten.co.jp/king-bear777/info.html,Not Found,Not Found
https://www.rakuten.co.jp/kounotorinodvd/,https://www.rakuten.co.jp/kounotorinodvd/info.html,Not Found,Not Found
https://www.rakuten.co.jp/chaoscollection/,https://www.rakuten.co.jp/chaoscollection/info.html,Not Found,Not Found
https://www.rakuten.co.jp/yukimi/,https://www.rakuten.co.jp/yukimi/info.html,Not Found,Not Found
https://www.rakuten.co.jp/topstar1/,https://www.rakuten.co.jp/topstar1/info.html,Not Found,Not Found
https://www.rakuten.co.jp/rshanger/,https://www.rakuten.co.jp/rshanger/info.html,Not Found,Not Found
https://www.rakuten.co.jp/life-inc-sei/,https://www.rakuten.co.jp/life-inc-sei/info.html,Not Found,Not Found
https://www.rakuten.co.jp/forldk/,https://www.rakuten.co.jp/forldk/info.html,Not Found,Not Found
https://www.rakuten.co.jp/s4gshop/,https://www.rakuten.co.jp/s4gshop/info.html,Not Found,Not Found
https://www.rakuten.co.jp/genesus/,https://www.rakuten.co.jp/genesus/info.html,Not Found,Not Found
https://www.rakuten.co.jp/f213837-anpachi/,https://www.rakuten.co.jp/f213837-anpachi/info.html,Not Found,Not Found
https://www.rakuten.co.jp/monta/,https://www.rakuten.co.jp/monta/info.html,Not Found,Not Found
https://www.rakuten.co.jp/sgmp/,https://www.rakuten.co.jp/sgmp/info.html,Not Found,Not Found
https://www.rakuten.co.jp/back-inc/,https://www.rakuten.co.jp/back-inc/info.html,Not Found,Not Found
https://www.rakuten.co.jp/kaitekikukanideal/,https://www.rakuten.co.jp/kaitekikukanideal/info.html,Not Found,Not Found
https://www.rakuten.co.jp/soraciel/,https://www.rakuten.co.jp/soraciel/info.html,Not Found,Not Found
https://www.rakuten.co.jp/inkjetrollpaper/,https://www.rakuten.co.jp/inkjetrollpaper/info.html,Not Found,Not Found
https://www.rakuten.co.jp/yoshiushop/,https://www.rakuten.co.jp/yoshiushop/info.html,Not Found,Not Found
https://www.rakuten.co.jp/mixshop2/,https://www.rakuten.co.jp/mixshop2/info.html,Not Found,Not Found
https://www.rakuten.co.jp/hyakuemon/,https://www.rakuten.co.jp/hyakuemon/info.html,Not Found,Not Found
https://www.rakuten.co.jp/wkj-hzdmj/,https://www.rakuten.co.jp/wkj-hzdmj/info.html,Not Found,Not Found
https://www.rakuten.co.jp/allbuy/,https://www.rakuten.co.jp/allbuy/info.html,Not Found,Not Found
